  71 remaining, cumulative cost 2.9312e-05 USD
  63 remaining, cumulative cost 0.00014016 USD
  62 remaining, cumulative cost 0.000156368 USD
  60 remaining, cumulative cost 0.000182976 USD
  51 remaining, cumulative cost 0.000292784 USD
  49 remaining, cumulative cost 0.000323552 USD
  48 remaining, cumulative cost 0.00033768 USD
  46 remaining, cumulative cost 0.000357008 USD
  48 remaining, cumulative cost 0.000378416 USD
  37 remaining, cumulative cost 0.000452032 USD
  33 remaining, cumulative cost 0.00049944 USD
  32 remaining, cumulative cost 0.000516688 USD
  27 remaining, cumulative cost 0.000578656 USD
  26 remaining, cumulative cost 0.000593824 USD
   9 remaining, cumulative cost 0.00078184 USD
   1 remaining, cumulative cost 0.000863568 USD
   0 remaining, cumulative cost 0.00091992 USD
