  72 remaining, cumulative cost 0.000014 USD
  71 remaining, cumulative cost 0.000027 USD
  70 remaining, cumulative cost 0.000043 USD
  72 remaining, cumulative cost 0.000061 USD
  70 remaining, cumulative cost 0.000070 USD
  68 remaining, cumulative cost 0.000094 USD
  66 remaining, cumulative cost 0.000110 USD
  65 remaining, cumulative cost 0.000126 USD
  64 remaining, cumulative cost 0.000133 USD
  63 remaining, cumulative cost 0.000148 USD
  64 remaining, cumulative cost 0.000165 USD
  63 remaining, cumulative cost 0.000181 USD
  61 remaining, cumulative cost 0.000198 USD
  59 remaining, cumulative cost 0.000217 USD
  58 remaining, cumulative cost 0.000231 USD
  58 remaining, cumulative cost 0.000253 USD
  56 remaining, cumulative cost 0.000277 USD
  55 remaining, cumulative cost 0.000292 USD
  54 remaining, cumulative cost 0.000310 USD
  55 remaining, cumulative cost 0.000318 USD
  52 remaining, cumulative cost 0.000337 USD
  51 remaining, cumulative cost 0.000351 USD
  50 remaining, cumulative cost 0.000383 USD
  49 remaining, cumulative cost 0.000394 USD
  48 remaining, cumulative cost 0.000412 USD
  47 remaining, cumulative cost 0.000429 USD
  46 remaining, cumulative cost 0.000442 USD
  45 remaining, cumulative cost 0.000456 USD
  46 remaining, cumulative cost 0.000474 USD
  44 remaining, cumulative cost 0.000485 USD
  44 remaining, cumulative cost 0.000491 USD
  41 remaining, cumulative cost 0.000508 USD
  40 remaining, cumulative cost 0.000523 USD
  42 remaining, cumulative cost 0.000539 USD
  39 remaining, cumulative cost 0.000550 USD
  37 remaining, cumulative cost 0.000563 USD
  36 remaining, cumulative cost 0.000587 USD
  35 remaining, cumulative cost 0.000601 USD
  35 remaining, cumulative cost 0.000616 USD
  33 remaining, cumulative cost 0.000631 USD
  32 remaining, cumulative cost 0.000647 USD
  31 remaining, cumulative cost 0.000658 USD
  32 remaining, cumulative cost 0.000677 USD
  30 remaining, cumulative cost 0.000690 USD
  28 remaining, cumulative cost 0.000703 USD
  27 remaining, cumulative cost 0.000714 USD
  28 remaining, cumulative cost 0.000726 USD
  25 remaining, cumulative cost 0.000749 USD
  24 remaining, cumulative cost 0.000766 USD
  23 remaining, cumulative cost 0.000778 USD
  22 remaining, cumulative cost 0.000795 USD
  21 remaining, cumulative cost 0.000817 USD
  21 remaining, cumulative cost 0.000826 USD
  19 remaining, cumulative cost 0.000837 USD
  18 remaining, cumulative cost 0.000848 USD
  17 remaining, cumulative cost 0.000870 USD
  16 remaining, cumulative cost 0.000882 USD
  15 remaining, cumulative cost 0.000894 USD
  14 remaining, cumulative cost 0.000911 USD
  13 remaining, cumulative cost 0.000923 USD
  12 remaining, cumulative cost 0.000934 USD
  14 remaining, cumulative cost 0.000945 USD
  10 remaining, cumulative cost 0.000960 USD
  12 remaining, cumulative cost 0.000984 USD
   8 remaining, cumulative cost 0.001003 USD
   7 remaining, cumulative cost 0.001025 USD
   6 remaining, cumulative cost 0.001051 USD
   5 remaining, cumulative cost 0.001087 USD
   4 remaining, cumulative cost 0.001124 USD
   3 remaining, cumulative cost 0.001168 USD
   2 remaining, cumulative cost 0.001215 USD
   1 remaining, cumulative cost 0.001262 USD
   0 remaining, cumulative cost 0.001313 USD
overall processing time: 345.42 s
configuration was: numpar=1 simulate=False
