  72 remaining, cumulative cost 0.000016 USD
  71 remaining, cumulative cost 0.000059 USD
  69 remaining, cumulative cost 0.000115 USD
  70 remaining, cumulative cost 0.000163 USD
  69 remaining, cumulative cost 0.000219 USD
  70 remaining, cumulative cost 0.000271 USD
  69 remaining, cumulative cost 0.000326 USD
  68 remaining, cumulative cost 0.000380 USD
  68 remaining, cumulative cost 0.000435 USD
  70 remaining, cumulative cost 0.000490 USD
  69 remaining, cumulative cost 0.000547 USD
  68 remaining, cumulative cost 0.000606 USD
  67 remaining, cumulative cost 0.000668 USD
  68 remaining, cumulative cost 0.000727 USD
  68 remaining, cumulative cost 0.000786 USD
  69 remaining, cumulative cost 0.000854 USD
  67 remaining, cumulative cost 0.000919 USD
  69 remaining, cumulative cost 0.000985 USD
  73 remaining, cumulative cost 0.000988 USD
  73 remaining, cumulative cost 0.000991 USD
  73 remaining, cumulative cost 0.000994 USD
  73 remaining, cumulative cost 0.000998 USD
  73 remaining, cumulative cost 0.001002 USD
   0 remaining, cumulative cost 0.001047 USD
   0 remaining, cumulative cost 0.001092 USD
   0 remaining, cumulative cost 0.001138 USD
   0 remaining, cumulative cost 0.001184 USD
   0 remaining, cumulative cost 0.001230 USD
   0 remaining, cumulative cost 0.001277 USD
   0 remaining, cumulative cost 0.001323 USD
   0 remaining, cumulative cost 0.001370 USD
   0 remaining, cumulative cost 0.001417 USD
   0 remaining, cumulative cost 0.001464 USD
   0 remaining, cumulative cost 0.001511 USD
   0 remaining, cumulative cost 0.001557 USD
   0 remaining, cumulative cost 0.001604 USD
overall processing time: 33.59 s
configuration was: numpar=18 simulate=False
