  71 remaining, cumulative cost 0.000027 USD
  60 remaining, cumulative cost 0.000213 USD
  54 remaining, cumulative cost 0.000256 USD
  57 remaining, cumulative cost 0.000271 USD
  52 remaining, cumulative cost 0.000284 USD
  44 remaining, cumulative cost 0.000387 USD
  34 remaining, cumulative cost 0.000508 USD
  19 remaining, cumulative cost 0.000661 USD
  17 remaining, cumulative cost 0.000681 USD
  16 remaining, cumulative cost 0.000688 USD
   9 remaining, cumulative cost 0.000775 USD
   3 remaining, cumulative cost 0.000830 USD
   5 remaining, cumulative cost 0.000882 USD
   0 remaining, cumulative cost 0.000926 USD
overall processing time: 130.09 s
