  72 remaining, cumulative cost 0.000011 USD
  72 remaining, cumulative cost 0.000024 USD
  72 remaining, cumulative cost 0.000042 USD
  72 remaining, cumulative cost 0.000060 USD
  72 remaining, cumulative cost 0.000081 USD
  72 remaining, cumulative cost 0.000103 USD
  67 remaining, cumulative cost 0.000129 USD
  72 remaining, cumulative cost 0.000144 USD
  67 remaining, cumulative cost 0.000159 USD
  72 remaining, cumulative cost 0.000177 USD
  65 remaining, cumulative cost 0.000200 USD
  67 remaining, cumulative cost 0.000220 USD
  65 remaining, cumulative cost 0.000245 USD
  65 remaining, cumulative cost 0.000280 USD
  58 remaining, cumulative cost 0.000295 USD
  65 remaining, cumulative cost 0.000311 USD
  65 remaining, cumulative cost 0.000327 USD
  58 remaining, cumulative cost 0.000346 USD
  58 remaining, cumulative cost 0.000364 USD
  58 remaining, cumulative cost 0.000384 USD
  58 remaining, cumulative cost 0.000404 USD
  58 remaining, cumulative cost 0.000416 USD
  51 remaining, cumulative cost 0.000429 USD
  58 remaining, cumulative cost 0.000444 USD
  51 remaining, cumulative cost 0.000460 USD
  58 remaining, cumulative cost 0.000478 USD
  51 remaining, cumulative cost 0.000500 USD
  58 remaining, cumulative cost 0.000525 USD
  58 remaining, cumulative cost 0.000538 USD
  44 remaining, cumulative cost 0.000548 USD
  51 remaining, cumulative cost 0.000562 USD
  44 remaining, cumulative cost 0.000575 USD
  51 remaining, cumulative cost 0.000591 USD
  44 remaining, cumulative cost 0.000609 USD
  44 remaining, cumulative cost 0.000631 USD
  51 remaining, cumulative cost 0.000643 USD
  44 remaining, cumulative cost 0.000658 USD
  37 remaining, cumulative cost 0.000670 USD
  37 remaining, cumulative cost 0.000684 USD
  37 remaining, cumulative cost 0.000701 USD
  37 remaining, cumulative cost 0.000720 USD
  37 remaining, cumulative cost 0.000739 USD
  30 remaining, cumulative cost 0.000747 USD
  30 remaining, cumulative cost 0.000755 USD
  37 remaining, cumulative cost 0.000768 USD
  30 remaining, cumulative cost 0.000784 USD
  25 remaining, cumulative cost 0.000795 USD
  37 remaining, cumulative cost 0.000822 USD
  25 remaining, cumulative cost 0.000836 USD
  30 remaining, cumulative cost 0.000847 USD
  30 remaining, cumulative cost 0.000857 USD
  30 remaining, cumulative cost 0.000874 USD
  23 remaining, cumulative cost 0.000887 USD
  30 remaining, cumulative cost 0.000902 USD
  23 remaining, cumulative cost 0.000925 USD
  23 remaining, cumulative cost 0.000950 USD
  23 remaining, cumulative cost 0.000961 USD
  16 remaining, cumulative cost 0.000975 USD
  16 remaining, cumulative cost 0.000989 USD
  16 remaining, cumulative cost 0.001003 USD
  23 remaining, cumulative cost 0.001020 USD
  16 remaining, cumulative cost 0.001039 USD
  23 remaining, cumulative cost 0.001058 USD
  16 remaining, cumulative cost 0.001072 USD
  16 remaining, cumulative cost 0.001084 USD
  16 remaining, cumulative cost 0.001098 USD
  16 remaining, cumulative cost 0.001112 USD
  23 remaining, cumulative cost 0.001124 USD
  16 remaining, cumulative cost 0.001141 USD
  16 remaining, cumulative cost 0.001160 USD
  17 remaining, cumulative cost 0.001163 USD
  17 remaining, cumulative cost 0.001167 USD
  17 remaining, cumulative cost 0.001171 USD
   9 remaining, cumulative cost 0.001184 USD
  16 remaining, cumulative cost 0.001202 USD
  16 remaining, cumulative cost 0.001223 USD
   3 remaining, cumulative cost 0.001256 USD
   0 remaining, cumulative cost 0.001301 USD
   0 remaining, cumulative cost 0.001347 USD
   0 remaining, cumulative cost 0.001393 USD
   0 remaining, cumulative cost 0.001439 USD
   0 remaining, cumulative cost 0.001486 USD
   0 remaining, cumulative cost 0.001532 USD
   0 remaining, cumulative cost 0.001579 USD
overall processing time: 222.89 s
configuration was: numpar=7 simulate=False
