  72 remaining, cumulative cost 0.000014 USD
  72 remaining, cumulative cost 0.000033 USD
  72 remaining, cumulative cost 0.000050 USD
  72 remaining, cumulative cost 0.000069 USD
  72 remaining, cumulative cost 0.000090 USD
  72 remaining, cumulative cost 0.000112 USD
  72 remaining, cumulative cost 0.000135 USD
  71 remaining, cumulative cost 0.000165 USD
  71 remaining, cumulative cost 0.000201 USD
  70 remaining, cumulative cost 0.000241 USD
  71 remaining, cumulative cost 0.000273 USD
  69 remaining, cumulative cost 0.000325 USD
  71 remaining, cumulative cost 0.000377 USD
  70 remaining, cumulative cost 0.000433 USD
  68 remaining, cumulative cost 0.000499 USD
  72 remaining, cumulative cost 0.000514 USD
  42 remaining, cumulative cost 0.000527 USD
  71 remaining, cumulative cost 0.000544 USD
  42 remaining, cumulative cost 0.000561 USD
  42 remaining, cumulative cost 0.000579 USD
  41 remaining, cumulative cost 0.000598 USD
  42 remaining, cumulative cost 0.000623 USD
  72 remaining, cumulative cost 0.000649 USD
  40 remaining, cumulative cost 0.000680 USD
  71 remaining, cumulative cost 0.000718 USD
  41 remaining, cumulative cost 0.000756 USD
  41 remaining, cumulative cost 0.000795 USD
  68 remaining, cumulative cost 0.000849 USD
  68 remaining, cumulative cost 0.000913 USD
  67 remaining, cumulative cost 0.000985 USD
  42 remaining, cumulative cost 0.000999 USD
  42 remaining, cumulative cost 0.001019 USD
  41 remaining, cumulative cost 0.001040 USD
  41 remaining, cumulative cost 0.001061 USD
  41 remaining, cumulative cost 0.001081 USD
   8 remaining, cumulative cost 0.001093 USD
   8 remaining, cumulative cost 0.001105 USD
   8 remaining, cumulative cost 0.001117 USD
   8 remaining, cumulative cost 0.001129 USD
   8 remaining, cumulative cost 0.001142 USD
   8 remaining, cumulative cost 0.001155 USD
   8 remaining, cumulative cost 0.001167 USD
   8 remaining, cumulative cost 0.001180 USD
   8 remaining, cumulative cost 0.001193 USD
   8 remaining, cumulative cost 0.001207 USD
   8 remaining, cumulative cost 0.001219 USD
   8 remaining, cumulative cost 0.001231 USD
   8 remaining, cumulative cost 0.001243 USD
   8 remaining, cumulative cost 0.001255 USD
   8 remaining, cumulative cost 0.001267 USD
   8 remaining, cumulative cost 0.001279 USD
   0 remaining, cumulative cost 0.001325 USD
   0 remaining, cumulative cost 0.001371 USD
   0 remaining, cumulative cost 0.001417 USD
   0 remaining, cumulative cost 0.001463 USD
   0 remaining, cumulative cost 0.001510 USD
   0 remaining, cumulative cost 0.001556 USD
   0 remaining, cumulative cost 0.001603 USD
   0 remaining, cumulative cost 0.001650 USD
   0 remaining, cumulative cost 0.001697 USD
overall processing time: 50.99 s
configuration was: numpar=15 simulate=False
