  72 remaining, cumulative cost 0.000011 USD
  72 remaining, cumulative cost 0.000026 USD
  72 remaining, cumulative cost 0.000041 USD
  72 remaining, cumulative cost 0.000060 USD
  72 remaining, cumulative cost 0.000076 USD
  72 remaining, cumulative cost 0.000096 USD
  72 remaining, cumulative cost 0.000113 USD
  72 remaining, cumulative cost 0.000132 USD
  72 remaining, cumulative cost 0.000150 USD
  72 remaining, cumulative cost 0.000172 USD
  72 remaining, cumulative cost 0.000193 USD
  72 remaining, cumulative cost 0.000214 USD
  72 remaining, cumulative cost 0.000236 USD
  72 remaining, cumulative cost 0.000259 USD
  72 remaining, cumulative cost 0.000285 USD
  72 remaining, cumulative cost 0.000314 USD
  72 remaining, cumulative cost 0.000343 USD
  72 remaining, cumulative cost 0.000355 USD
  72 remaining, cumulative cost 0.000368 USD
  55 remaining, cumulative cost 0.000382 USD
  55 remaining, cumulative cost 0.000395 USD
  55 remaining, cumulative cost 0.000411 USD
  55 remaining, cumulative cost 0.000429 USD
  55 remaining, cumulative cost 0.000446 USD
  55 remaining, cumulative cost 0.000463 USD
  55 remaining, cumulative cost 0.000480 USD
  72 remaining, cumulative cost 0.000498 USD
  55 remaining, cumulative cost 0.000516 USD
  55 remaining, cumulative cost 0.000535 USD
  55 remaining, cumulative cost 0.000555 USD
  72 remaining, cumulative cost 0.000575 USD
  55 remaining, cumulative cost 0.000597 USD
  55 remaining, cumulative cost 0.000622 USD
  72 remaining, cumulative cost 0.000646 USD
  55 remaining, cumulative cost 0.000655 USD
  55 remaining, cumulative cost 0.000664 USD
  55 remaining, cumulative cost 0.000679 USD
  55 remaining, cumulative cost 0.000693 USD
  55 remaining, cumulative cost 0.000705 USD
  55 remaining, cumulative cost 0.000719 USD
  55 remaining, cumulative cost 0.000734 USD
  55 remaining, cumulative cost 0.000751 USD
  55 remaining, cumulative cost 0.000767 USD
  55 remaining, cumulative cost 0.000783 USD
  55 remaining, cumulative cost 0.000801 USD
  55 remaining, cumulative cost 0.000821 USD
  55 remaining, cumulative cost 0.000841 USD
  55 remaining, cumulative cost 0.000861 USD
  55 remaining, cumulative cost 0.000882 USD
  55 remaining, cumulative cost 0.000908 USD
  55 remaining, cumulative cost 0.000941 USD
  55 remaining, cumulative cost 0.000953 USD
  21 remaining, cumulative cost 0.000962 USD
  55 remaining, cumulative cost 0.000974 USD
  21 remaining, cumulative cost 0.000987 USD
  21 remaining, cumulative cost 0.001001 USD
  55 remaining, cumulative cost 0.001015 USD
  21 remaining, cumulative cost 0.001029 USD
  55 remaining, cumulative cost 0.001047 USD
  21 remaining, cumulative cost 0.001063 USD
  21 remaining, cumulative cost 0.001080 USD
  21 remaining, cumulative cost 0.001095 USD
  55 remaining, cumulative cost 0.001117 USD
  21 remaining, cumulative cost 0.001138 USD
  21 remaining, cumulative cost 0.001159 USD
  21 remaining, cumulative cost 0.001180 USD
  55 remaining, cumulative cost 0.001202 USD
  21 remaining, cumulative cost 0.001225 USD
  22 remaining, cumulative cost 0.001229 USD
  22 remaining, cumulative cost 0.001233 USD
  22 remaining, cumulative cost 0.001237 USD
  22 remaining, cumulative cost 0.001241 USD
  22 remaining, cumulative cost 0.001245 USD
   5 remaining, cumulative cost 0.001248 USD
  22 remaining, cumulative cost 0.001252 USD
  22 remaining, cumulative cost 0.001256 USD
  22 remaining, cumulative cost 0.001260 USD
  22 remaining, cumulative cost 0.001264 USD
   5 remaining, cumulative cost 0.001268 USD
  22 remaining, cumulative cost 0.001273 USD
  21 remaining, cumulative cost 0.001285 USD
   4 remaining, cumulative cost 0.001298 USD
   4 remaining, cumulative cost 0.001312 USD
   4 remaining, cumulative cost 0.001325 USD
  21 remaining, cumulative cost 0.001349 USD
  22 remaining, cumulative cost 0.001352 USD
  22 remaining, cumulative cost 0.001355 USD
  22 remaining, cumulative cost 0.001358 USD
   0 remaining, cumulative cost 0.001362 USD
   0 remaining, cumulative cost 0.001366 USD
   0 remaining, cumulative cost 0.001369 USD
   0 remaining, cumulative cost 0.001373 USD
   0 remaining, cumulative cost 0.001377 USD
   0 remaining, cumulative cost 0.001381 USD
  22 remaining, cumulative cost 0.001385 USD
   0 remaining, cumulative cost 0.001390 USD
   0 remaining, cumulative cost 0.001394 USD
   0 remaining, cumulative cost 0.001398 USD
   0 remaining, cumulative cost 0.001402 USD
   0 remaining, cumulative cost 0.001406 USD
  22 remaining, cumulative cost 0.001411 USD
   0 remaining, cumulative cost 0.001415 USD
overall processing time: 28.37 s
configuration was: numpar=17 simulate=False | threshold=0 baseline=none bulk=False
