  71 remaining, cumulative cost 0.000018 USD
  71 remaining, cumulative cost 0.000041 USD
  72 remaining, cumulative cost 0.000065 USD
  71 remaining, cumulative cost 0.000091 USD
  71 remaining, cumulative cost 0.000117 USD
  71 remaining, cumulative cost 0.000157 USD
  71 remaining, cumulative cost 0.000188 USD
  70 remaining, cumulative cost 0.000231 USD
  68 remaining, cumulative cost 0.000286 USD
  68 remaining, cumulative cost 0.000355 USD
  68 remaining, cumulative cost 0.000430 USD
  66 remaining, cumulative cost 0.000510 USD
  60 remaining, cumulative cost 0.000652 USD
  21 remaining, cumulative cost 0.000663 USD
  21 remaining, cumulative cost 0.000676 USD
  21 remaining, cumulative cost 0.000689 USD
  21 remaining, cumulative cost 0.000702 USD
  21 remaining, cumulative cost 0.000715 USD
  20 remaining, cumulative cost 0.000733 USD
  21 remaining, cumulative cost 0.000750 USD
  20 remaining, cumulative cost 0.000774 USD
  20 remaining, cumulative cost 0.000798 USD
  20 remaining, cumulative cost 0.000830 USD
  19 remaining, cumulative cost 0.000865 USD
  20 remaining, cumulative cost 0.000903 USD
  19 remaining, cumulative cost 0.000941 USD
  22 remaining, cumulative cost 0.000944 USD
  22 remaining, cumulative cost 0.000947 USD
  22 remaining, cumulative cost 0.000949 USD
  22 remaining, cumulative cost 0.000952 USD
  22 remaining, cumulative cost 0.000955 USD
  22 remaining, cumulative cost 0.000958 USD
  22 remaining, cumulative cost 0.000961 USD
  22 remaining, cumulative cost 0.000964 USD
  22 remaining, cumulative cost 0.000967 USD
  22 remaining, cumulative cost 0.000970 USD
  22 remaining, cumulative cost 0.000973 USD
  22 remaining, cumulative cost 0.000976 USD
  22 remaining, cumulative cost 0.000979 USD
  22 remaining, cumulative cost 0.000981 USD
  22 remaining, cumulative cost 0.000984 USD
  22 remaining, cumulative cost 0.000987 USD
  22 remaining, cumulative cost 0.000990 USD
  22 remaining, cumulative cost 0.000993 USD
   0 remaining, cumulative cost 0.001038 USD
   0 remaining, cumulative cost 0.001083 USD
   0 remaining, cumulative cost 0.001128 USD
   0 remaining, cumulative cost 0.001173 USD
   0 remaining, cumulative cost 0.001218 USD
   0 remaining, cumulative cost 0.001263 USD
   0 remaining, cumulative cost 0.001309 USD
   0 remaining, cumulative cost 0.001354 USD
overall processing time: 43.74 s
configuration was: numpar=13 simulate=False
