  68 remaining, local duration  8.10 s, local cost 0.000017 USD
  65 remaining, local duration  8.20 s, local cost 0.000017 USD
  64 remaining, local duration  8.30 s, local cost 0.000017 USD
  66 remaining, local duration  8.40 s, local cost 0.000018 USD
  64 remaining, local duration  8.60 s, local cost 0.000018 USD
  68 remaining, local duration  8.60 s, local cost 0.000018 USD
  66 remaining, local duration  8.60 s, local cost 0.000018 USD
  64 remaining, local duration  8.60 s, local cost 0.000018 USD
  67 remaining, local duration  9.10 s, local cost 0.000019 USD
  65 remaining, local duration  9.50 s, local cost 0.000020 USD
   0 remaining, local duration  0.10 s, local cost 0.000000 USD
   0 remaining, local duration  0.10 s, local cost 0.000000 USD
   0 remaining, local duration  0.10 s, local cost 0.000000 USD
   0 remaining, local duration  0.10 s, local cost 0.000000 USD
   0 remaining, local duration  0.10 s, local cost 0.000000 USD
   0 remaining, local duration  0.10 s, local cost 0.000000 USD
   0 remaining, local duration  0.10 s, local cost 0.000000 USD
   0 remaining, local duration  0.10 s, local cost 0.000000 USD
   0 remaining, local duration  0.10 s, local cost 0.000000 USD
   0 remaining, local duration  0.10 s, local cost 0.000000 USD
overall processing time: 13.61 s, net duration: 87.00 s, invocations 20, cost: 0.000185 USD
configuration was: numpar=10 simulate=False | threshold=0 baseline=all bulk=False
