  72 remaining, local duration  1.10 s, local cost 0.000002 USD
  72 remaining, local duration  1.50 s, local cost 0.000003 USD
  72 remaining, local duration  1.60 s, local cost 0.000004 USD
  72 remaining, local duration  1.90 s, local cost 0.000004 USD
  72 remaining, local duration  1.90 s, local cost 0.000004 USD
  69 remaining, local duration  2.00 s, local cost 0.000004 USD
  72 remaining, local duration  1.30 s, local cost 0.000003 USD
  69 remaining, local duration  1.40 s, local cost 0.000003 USD
  72 remaining, local duration  1.40 s, local cost 0.000003 USD
  66 remaining, local duration  1.50 s, local cost 0.000003 USD
  72 remaining, local duration  1.60 s, local cost 0.000004 USD
  66 remaining, local duration  2.20 s, local cost 0.000005 USD
  72 remaining, local duration  1.00 s, local cost 0.000002 USD
  60 remaining, local duration  1.30 s, local cost 0.000003 USD
  72 remaining, local duration  1.30 s, local cost 0.000003 USD
  72 remaining, local duration  1.30 s, local cost 0.000003 USD
  66 remaining, local duration  1.50 s, local cost 0.000003 USD
  66 remaining, local duration  3.10 s, local cost 0.000007 USD
  60 remaining, local duration  1.00 s, local cost 0.000002 USD
  54 remaining, local duration  1.60 s, local cost 0.000004 USD
  54 remaining, local duration  1.70 s, local cost 0.000004 USD
  66 remaining, local duration  2.10 s, local cost 0.000005 USD
  60 remaining, local duration  2.10 s, local cost 0.000005 USD
  54 remaining, local duration  2.30 s, local cost 0.000005 USD
  60 remaining, local duration  1.10 s, local cost 0.000002 USD
  60 remaining, local duration  1.10 s, local cost 0.000002 USD
  54 remaining, local duration  1.50 s, local cost 0.000003 USD
  54 remaining, local duration  1.60 s, local cost 0.000004 USD
  54 remaining, local duration  1.80 s, local cost 0.000004 USD
  54 remaining, local duration  2.10 s, local cost 0.000005 USD
  48 remaining, local duration  0.80 s, local cost 0.000002 USD
  54 remaining, local duration  1.10 s, local cost 0.000002 USD
  54 remaining, local duration  1.00 s, local cost 0.000002 USD
  42 remaining, local duration  1.20 s, local cost 0.000003 USD
  42 remaining, local duration  1.50 s, local cost 0.000003 USD
  54 remaining, local duration  2.30 s, local cost 0.000005 USD
  42 remaining, local duration  0.90 s, local cost 0.000002 USD
  42 remaining, local duration  1.00 s, local cost 0.000002 USD
  48 remaining, local duration  1.20 s, local cost 0.000003 USD
  48 remaining, local duration  1.40 s, local cost 0.000003 USD
  42 remaining, local duration  1.40 s, local cost 0.000003 USD
  42 remaining, local duration  1.70 s, local cost 0.000004 USD
  36 remaining, local duration  1.10 s, local cost 0.000002 USD
  42 remaining, local duration  1.30 s, local cost 0.000003 USD
  30 remaining, local duration  1.10 s, local cost 0.000002 USD
  42 remaining, local duration  1.40 s, local cost 0.000003 USD
  42 remaining, local duration  1.50 s, local cost 0.000003 USD
  36 remaining, local duration  1.80 s, local cost 0.000004 USD
  30 remaining, local duration  1.40 s, local cost 0.000003 USD
  30 remaining, local duration  1.60 s, local cost 0.000004 USD
  36 remaining, local duration  1.70 s, local cost 0.000004 USD
  24 remaining, local duration  1.90 s, local cost 0.000004 USD
  24 remaining, local duration  1.80 s, local cost 0.000004 USD
  36 remaining, local duration  2.00 s, local cost 0.000004 USD
  18 remaining, local duration  1.10 s, local cost 0.000002 USD
  24 remaining, local duration  1.00 s, local cost 0.000002 USD
  30 remaining, local duration  1.10 s, local cost 0.000002 USD
  18 remaining, local duration  1.20 s, local cost 0.000003 USD
  24 remaining, local duration  1.30 s, local cost 0.000003 USD
  30 remaining, local duration  1.60 s, local cost 0.000004 USD
  24 remaining, local duration  0.70 s, local cost 0.000002 USD
  12 remaining, local duration  0.90 s, local cost 0.000002 USD
  24 remaining, local duration  1.10 s, local cost 0.000002 USD
  18 remaining, local duration  1.30 s, local cost 0.000003 USD
  18 remaining, local duration  1.40 s, local cost 0.000003 USD
  12 remaining, local duration  1.70 s, local cost 0.000004 USD
  18 remaining, local duration  0.60 s, local cost 0.000001 USD
   6 remaining, local duration  0.80 s, local cost 0.000002 USD
   6 remaining, local duration  1.00 s, local cost 0.000002 USD
  18 remaining, local duration  1.20 s, local cost 0.000003 USD
   6 remaining, local duration  1.30 s, local cost 0.000003 USD
  18 remaining, local duration  2.30 s, local cost 0.000005 USD
   7 remaining, local duration  0.10 s, local cost 0.000000 USD
   7 remaining, local duration  0.10 s, local cost 0.000000 USD
   7 remaining, local duration  0.10 s, local cost 0.000000 USD
  13 remaining, local duration  0.10 s, local cost 0.000000 USD
  13 remaining, local duration  0.10 s, local cost 0.000000 USD
   6 remaining, local duration  1.20 s, local cost 0.000003 USD
   0 remaining, local duration  0.10 s, local cost 0.000000 USD
   0 remaining, local duration  0.10 s, local cost 0.000000 USD
   1 remaining, local duration  0.10 s, local cost 0.000000 USD
   0 remaining, local duration  0.10 s, local cost 0.000000 USD
   7 remaining, local duration  0.10 s, local cost 0.000000 USD
   7 remaining, local duration  0.10 s, local cost 0.000000 USD
overall processing time: 51.09 s, net duration: 106.90 s, invocations 84, cost: 0.000239 USD
configuration was: numpar=6 simulate=False | threshold=0 baseline=individual bulk=False
