  72 remaining, local duration 1.00 s, local cost 0.000012 USD
  72 remaining, local duration 1.60 s, local cost 0.000019 USD
  71 remaining, local duration 2.20 s, local cost 0.000025 USD
  71 remaining, local duration 2.40 s, local cost 0.000027 USD
  66 remaining, local duration 1.50 s, local cost 0.000017 USD
  69 remaining, local duration 5.10 s, local cost 0.000055 USD
  61 remaining, local duration 1.40 s, local cost 0.000016 USD
  65 remaining, local duration 2.40 s, local cost 0.000027 USD
  58 remaining, local duration 1.50 s, local cost 0.000017 USD
  58 remaining, local duration 2.00 s, local cost 0.000023 USD
  58 remaining, local duration 1.40 s, local cost 0.000016 USD
  60 remaining, local duration 1.80 s, local cost 0.000021 USD
  53 remaining, local duration 2.30 s, local cost 0.000026 USD
  54 remaining, local duration 3.70 s, local cost 0.000040 USD
  49 remaining, local duration 1.20 s, local cost 0.000014 USD
  49 remaining, local duration 2.30 s, local cost 0.000026 USD
  47 remaining, local duration 1.30 s, local cost 0.000015 USD
  47 remaining, local duration 2.60 s, local cost 0.000029 USD
  43 remaining, local duration 0.90 s, local cost 0.000011 USD
  42 remaining, local duration 1.10 s, local cost 0.000013 USD
  43 remaining, local duration 1.50 s, local cost 0.000017 USD
  40 remaining, local duration 2.00 s, local cost 0.000023 USD
  47 remaining, local duration 1.70 s, local cost 0.000019 USD
  38 remaining, local duration 1.70 s, local cost 0.000019 USD
  36 remaining, local duration 1.60 s, local cost 0.000018 USD
  42 remaining, local duration 1.80 s, local cost 0.000020 USD
  33 remaining, local duration 0.90 s, local cost 0.000011 USD
  40 remaining, local duration 1.60 s, local cost 0.000018 USD
  36 remaining, local duration 1.10 s, local cost 0.000013 USD
  31 remaining, local duration 0.90 s, local cost 0.000011 USD
  33 remaining, local duration 0.80 s, local cost 0.000010 USD
  31 remaining, local duration 1.20 s, local cost 0.000014 USD
  27 remaining, local duration 0.90 s, local cost 0.000011 USD
  27 remaining, local duration 2.00 s, local cost 0.000023 USD
  25 remaining, local duration 0.90 s, local cost 0.000011 USD
  29 remaining, local duration 1.10 s, local cost 0.000013 USD
  23 remaining, local duration 0.50 s, local cost 0.000007 USD
  25 remaining, local duration 1.10 s, local cost 0.000014 USD
  21 remaining, local duration 1.20 s, local cost 0.000015 USD
  24 remaining, local duration 2.30 s, local cost 0.000026 USD
  21 remaining, local duration 1.10 s, local cost 0.000013 USD
  21 remaining, local duration 1.10 s, local cost 0.000013 USD
  16 remaining, local duration 1.10 s, local cost 0.000014 USD
  21 remaining, local duration 2.00 s, local cost 0.000023 USD
  14 remaining, local duration 1.80 s, local cost 0.000020 USD
  21 remaining, local duration 2.90 s, local cost 0.000032 USD
  16 remaining, local duration 0.90 s, local cost 0.000011 USD
  12 remaining, local duration 3.70 s, local cost 0.000040 USD
   8 remaining, local duration 1.60 s, local cost 0.000018 USD
  11 remaining, local duration 1.70 s, local cost 0.000019 USD
   5 remaining, local duration 1.20 s, local cost 0.000014 USD
   4 remaining, local duration 2.90 s, local cost 0.000032 USD
   2 remaining, local duration 1.10 s, local cost 0.000013 USD
   5 remaining, local duration 1.80 s, local cost 0.000021 USD
   6 remaining, local duration 0.10 s, local cost 0.000003 USD
   5 remaining, local duration 1.60 s, local cost 0.000018 USD
   1 remaining, local duration 0.10 s, local cost 0.000003 USD
   0 remaining, local duration 0.10 s, local cost 0.000004 USD
overall processing time: 100.28 s, net duration: 93.30 s, invocations 58, cost: 0.001079 USD
configuration was: numpar=2 simulate=False | threshold=30 baseline=none bulk=False
