  72 remaining, cumulative cost 0.000013 USD
  72 remaining, cumulative cost 0.000028 USD
  72 remaining, cumulative cost 0.000044 USD
  72 remaining, cumulative cost 0.000059 USD
  72 remaining, cumulative cost 0.000079 USD
  72 remaining, cumulative cost 0.000098 USD
  72 remaining, cumulative cost 0.000116 USD
  72 remaining, cumulative cost 0.000135 USD
  72 remaining, cumulative cost 0.000155 USD
  72 remaining, cumulative cost 0.000174 USD
  72 remaining, cumulative cost 0.000195 USD
  72 remaining, cumulative cost 0.000216 USD
  72 remaining, cumulative cost 0.000230 USD
  72 remaining, cumulative cost 0.000252 USD
  72 remaining, cumulative cost 0.000274 USD
  72 remaining, cumulative cost 0.000297 USD
  72 remaining, cumulative cost 0.000320 USD
  72 remaining, cumulative cost 0.000348 USD
  72 remaining, cumulative cost 0.000376 USD
  72 remaining, cumulative cost 0.000412 USD
  72 remaining, cumulative cost 0.000425 USD
  52 remaining, cumulative cost 0.000440 USD
  52 remaining, cumulative cost 0.000457 USD
  52 remaining, cumulative cost 0.000474 USD
  72 remaining, cumulative cost 0.000491 USD
  72 remaining, cumulative cost 0.000501 USD
  72 remaining, cumulative cost 0.000519 USD
  52 remaining, cumulative cost 0.000537 USD
  72 remaining, cumulative cost 0.000557 USD
  52 remaining, cumulative cost 0.000575 USD
  52 remaining, cumulative cost 0.000588 USD
  72 remaining, cumulative cost 0.000607 USD
  72 remaining, cumulative cost 0.000632 USD
  52 remaining, cumulative cost 0.000654 USD
  52 remaining, cumulative cost 0.000663 USD
  72 remaining, cumulative cost 0.000689 USD
  72 remaining, cumulative cost 0.000707 USD
  52 remaining, cumulative cost 0.000720 USD
  72 remaining, cumulative cost 0.000738 USD
  52 remaining, cumulative cost 0.000758 USD
  32 remaining, cumulative cost 0.000769 USD
  31 remaining, cumulative cost 0.000784 USD
  31 remaining, cumulative cost 0.000799 USD
  31 remaining, cumulative cost 0.000811 USD
  31 remaining, cumulative cost 0.000830 USD
  31 remaining, cumulative cost 0.000854 USD
  31 remaining, cumulative cost 0.000872 USD
  27 remaining, cumulative cost 0.000882 USD
  27 remaining, cumulative cost 0.000900 USD
  23 remaining, cumulative cost 0.000913 USD
  32 remaining, cumulative cost 0.000934 USD
  31 remaining, cumulative cost 0.000954 USD
  31 remaining, cumulative cost 0.000980 USD
  31 remaining, cumulative cost 0.000988 USD
  32 remaining, cumulative cost 0.001001 USD
  23 remaining, cumulative cost 0.001016 USD
  19 remaining, cumulative cost 0.001028 USD
  19 remaining, cumulative cost 0.001041 USD
  31 remaining, cumulative cost 0.001064 USD
  19 remaining, cumulative cost 0.001083 USD
  17 remaining, cumulative cost 0.001093 USD
  19 remaining, cumulative cost 0.001106 USD
  19 remaining, cumulative cost 0.001126 USD
  12 remaining, cumulative cost 0.001144 USD
  13 remaining, cumulative cost 0.001149 USD
   1 remaining, cumulative cost 0.001153 USD
  13 remaining, cumulative cost 0.001157 USD
  12 remaining, cumulative cost 0.001176 USD
  12 remaining, cumulative cost 0.001191 USD
  13 remaining, cumulative cost 0.001196 USD
  13 remaining, cumulative cost 0.001200 USD
  13 remaining, cumulative cost 0.001204 USD
  12 remaining, cumulative cost 0.001219 USD
  11 remaining, cumulative cost 0.001236 USD
  16 remaining, cumulative cost 0.001250 USD
  12 remaining, cumulative cost 0.001273 USD
  12 remaining, cumulative cost 0.001289 USD
  13 remaining, cumulative cost 0.001292 USD
  12 remaining, cumulative cost 0.001319 USD
  12 remaining, cumulative cost 0.001335 USD
  13 remaining, cumulative cost 0.001338 USD
  13 remaining, cumulative cost 0.001341 USD
   0 remaining, cumulative cost 0.001345 USD
   1 remaining, cumulative cost 0.001349 USD
   0 remaining, cumulative cost 0.001353 USD
   0 remaining, cumulative cost 0.001357 USD
   0 remaining, cumulative cost 0.001361 USD
   0 remaining, cumulative cost 0.001365 USD
   0 remaining, cumulative cost 0.001369 USD
   0 remaining, cumulative cost 0.001374 USD
   0 remaining, cumulative cost 0.001378 USD
  12 remaining, cumulative cost 0.001383 USD
   0 remaining, cumulative cost 0.001388 USD
   0 remaining, cumulative cost 0.001392 USD
   0 remaining, cumulative cost 0.001397 USD
   0 remaining, cumulative cost 0.001402 USD
   0 remaining, cumulative cost 0.001406 USD
  13 remaining, cumulative cost 0.001411 USD
   0 remaining, cumulative cost 0.001417 USD
   0 remaining, cumulative cost 0.001419 USD
overall processing time: 52.31 s
configuration was: numpar=20 simulate=False | threshold=0 baseline=none bulk=False
