  70 remaining, cumulative cost 4.512e-05 USD
  67 remaining, cumulative cost 8.6288e-05 USD
  63 remaining, cumulative cost 0.000144096 USD
  59 remaining, cumulative cost 0.000207104 USD
  53 remaining, cumulative cost 0.000286752 USD
  50 remaining, cumulative cost 0.00032792 USD
  43 remaining, cumulative cost 0.000409648 USD
  41 remaining, cumulative cost 0.000436256 USD
  40 remaining, cumulative cost 0.000461824 USD
  36 remaining, cumulative cost 0.000474912 USD
  42 remaining, cumulative cost 0.000485088 USD
  33 remaining, cumulative cost 0.000516896 USD
  31 remaining, cumulative cost 0.000538304 USD
  29 remaining, cumulative cost 0.000561792 USD
  27 remaining, cumulative cost 0.000588192 USD
  23 remaining, cumulative cost 0.00062728 USD
  12 remaining, cumulative cost 0.000737088 USD
   7 remaining, cumulative cost 0.000807376 USD
   5 remaining, cumulative cost 0.000840224 USD
   1 remaining, cumulative cost 0.000906352 USD
   0 remaining, cumulative cost 0.00096312 USD
