  70 remaining, cumulative cost 0.000031 USD
  68 remaining, cumulative cost 0.000117 USD
  61 remaining, cumulative cost 0.000245 USD
  51 remaining, cumulative cost 0.000318 USD
  48 remaining, cumulative cost 0.000417 USD
  46 remaining, cumulative cost 0.000516 USD
  36 remaining, cumulative cost 0.000526 USD
  26 remaining, cumulative cost 0.000657 USD
  12 remaining, cumulative cost 0.000853 USD
   0 remaining, cumulative cost 0.000897 USD
   0 remaining, cumulative cost 0.000942 USD
   0 remaining, cumulative cost 0.000987 USD
overall processing time: 68.81 s
